Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
NEON,NEON,ARIK,mg/L,1387,2012-02-01T00:00:00Z,2019-12-19T00:00:00Z,0.5
NEON,NEON,BIGC,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7
NEON,NEON,BLDE,mg/L,491,2018-03-07T00:00:00Z,2019-11-13T00:00:00Z,0.8
NEON,NEON,BLUE,mg/L,849,2017-03-09T00:00:00Z,2019-12-17T00:00:00Z,0.8
NEON,NEON,BLWA,mg/L,1024,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.9
NEON,NEON,CARI,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5
NEON,NEON,COMO,mg/L,884,2015-05-22T00:00:00Z,2019-12-18T00:00:00Z,0.5
NEON,NEON,CUPE,mg/L,1124,2014-12-31T00:00:00Z,2019-12-10T00:00:00Z,0.6
NEON,NEON,FLNT,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8
NEON,NEON,GUIL,mg/L,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6
NEON,NEON,HOPB,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9
NEON,NEON,KING,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7
NEON,NEON,LECO,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6
NEON,NEON,LEWI,mg/L,939,2016-10-06T00:00:00Z,2019-12-12T00:00:00Z,0.8
NEON,NEON,MART,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9
NEON,NEON,MAYF,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7
NEON,NEON,MCDI,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9
NEON,NEON,MCRA,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8
NEON,NEON,OKSR,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5
NEON,NEON,POSE,mg/L,1227,2014-10-29T00:00:00Z,2019-12-11T00:00:00Z,0.7
NEON,NEON,PRIN,mg/L,789,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.7
NEON,NEON,REDB,mg/L,901,2012-02-04T00:00:00Z,2019-12-04T00:00:00Z,0.3
NEON,NEON,SYCA,mg/L,354,2017-06-21T00:00:00Z,2019-12-20T00:00:00Z,0.4
NEON,NEON,TECR,mg/L,284,2018-10-31T00:00:00Z,2019-11-14T00:00:00Z,0.7
NEON,NEON,TOMB,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9
NEON,NEON,WALK,mg/L,1194,2015-04-14T00:00:00Z,2019-12-17T00:00:00Z,0.7
NEON,NEON,WLOU,mg/L,852,2017-05-03T00:00:00Z,2019-12-11T00:00:00Z,0.9
